player_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,preferred_foot,weak_foot,pace,shooting,passing,dribbling,defending,physic
251854,Pedri,Pedro González López,CM,86,92,105000000,165000,20,25-11-2002,174,60,FC Barcelona,La Liga,SUB,Spain,Right,4,78,69,82,88,70,74
241721,Rafael Leão,Rafael Alexandre Conceição Leão,"LW, CF, ST",86,91,102500000,110000,24,10-06-1999,188,81,Milan,Serie A,LW,Portugal,Right,4,93,80,75,87,27,76
252371,J. Bellingham,Jude Victor William Bellingham,"CM, CAM",86,91,100500000,175000,20,29-06-2003,186,75,Real Madrid,La Liga,CAM,England,Right,4,76,78,80,85,78,82
253163,R. Araujo,Ronald Federico Araújo da Silva,"CB, RB",86,91,93000000,175000,24,07-03-1999,188,79,FC Barcelona,La Liga,SUB,Uruguay,Right,3,79,51,65,62,86,84
246669,B. Saka,Bukayo Saka,"RW, RM",86,90,99000000,150000,21,05-09-2001,178,65,Arsenal,Premier League,RW,England,Left,3,85,81,79,87,60,70
235243,M. de Ligt,Matthijs de Ligt,CB,86,89,83000000,84000,23,12-08-1999,189,89,FC Bayern München,Bundesliga,RCB,Netherlands,Right,3,66,61,64,68,85,86
240130,Éder Militão,Éder Gabriel Militão,CB,86,89,80000000,210000,25,18-01-1998,186,78,Real Madrid,La Liga,SUB,Brazil,Right,3,85,50,69,71,86,82
241096,S. Tonali,Sandro Tonali,"CDM, CM",86,89,84000000,140000,23,08-05-2000,181,79,Newcastle United,Premier League,RCM,Italy,Right,4,84,74,81,81,82,84
224232,N. Barella,Nicolò Barella,CM,86,88,83500000,135000,26,07-02-1997,175,68,Inter,Serie A,RCM,Italy,Right,3,78,78,82,85,78,80
231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,86,88,81000000,140000,24,07-10-1998,180,69,Liverpool,Premier League,RB,England,Right,4,76,69,90,79,80,73
232411,C. Nkunku,Christopher Nkunku,"CF, CAM, ST",86,88,86500000,185000,25,14-11-1997,175,73,Chelsea,Premier League,RES,France,Right,3,82,81,83,88,62,67
231443,O. Dembélé,Ousmane Dembélé,"RW, LW",86,87,80000000,150000,26,15-05-1997,178,67,Paris Saint Germain,Ligue 1,RW,France,Left,5,93,77,81,87,36,57
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,86,86,23000000,66000,38,05-02-1985,187,85,Al Nassr,Pro League,ST,Portugal,Right,4,77,88,75,80,34,74
182521,T. Kroos,Toni Kroos,"CM, CDM",86,86,42000000,240000,33,04-01-1990,183,76,Real Madrid,La Liga,SUB,Germany,Right,5,51,80,90,81,70,71
186153,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,86,86,22000000,125000,33,18-04-1990,195,90,Juventus,Serie A,GK,Poland,Right,3,,,,,,
186942,İ. Gündoğan,İlkay Gündoğan,"CM, CDM",86,86,53500000,220000,32,24-10-1990,180,80,FC Barcelona,La Liga,RCM,Germany,Right,4,62,81,84,86,72,73
189513,Parejo,Daniel Parejo Muñoz,"CM, CDM",86,86,31500000,64000,34,16-04-1989,182,74,Villarreal,La Liga,CDM,Spain,Right,4,49,83,90,80,73,69
204485,R. Mahrez,Riyad Mahrez,"RM, RW",86,86,54000000,72000,32,21-02-1991,179,67,Al Ahli Jeddah,Pro League,RM,Algeria,Left,4,79,81,81,89,38,60
208722,S. Mané,Sadio Mané,"CF, LM, ST",86,86,57500000,87000,31,10-04-1992,174,69,Al Nassr,Pro League,LM,Senegal,Right,4,85,83,79,87,44,74
210514,João Cancelo,João Pedro Cavaco Cancelo,"LB, RB",86,86,59500000,195000,29,27-05-1994,182,74,FC Barcelona,La Liga,RB,Portugal,Right,4,81,73,85,84,80,72
211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",86,86,68000000,130000,29,15-11-1993,177,75,Roma,Serie A,RS,Argentina,Left,3,80,85,85,90,40,60
215914,N. Kanté,N'Golo Kanté,"CDM, CM",86,86,45000000,73000,32,29-03-1991,168,70,Al Ittihad,Pro League,RDM,France,Right,3,69,65,73,80,85,77
216267,A. Robertson,Andrew Robertson,LB,86,86,59500000,170000,29,11-03-1994,178,64,Liverpool,Premier League,LB,Scotland,Left,2,80,61,82,81,81,77
223848,S. Milinković-Savić,Sergej Milinković-Savić,CM,86,86,68000000,84000,28,27-02-1995,192,95,Al Hilal,Pro League,CAM,Serbia,Right,5,68,80,82,82,79,86
243812,Rodrygo,Rodrygo Silva de Goes,"RW, LW, ST",85,91,86500000,210000,22,09-01-2001,174,64,Real Madrid,La Liga,RS,Brazil,Right,4,88,81,79,86,31,62
256630,F. Wirtz,Florian Richard Wirtz,"CAM, CM",85,91,83500000,65000,20,03-05-2003,177,71,Bayer 04 Leverkusen,Bundesliga,LF,Germany,Right,4,74,76,83,87,52,63
232656,T. Hernández,Theo Bernard François Hernández,"LB, LM",85,90,73500000,90000,25,06-10-1997,184,81,Milan,Serie A,LB,France,Left,3,93,71,76,81,78,84
237383,A. Bastoni,Alessandro Bastoni,CB,85,90,73500000,95000,24,13-04-1999,190,75,Inter,Serie A,LCB,Italy,Left,3,73,35,72,73,86,83
237692,P. Foden,Philip Foden,"LW, RW",85,90,81500000,180000,23,28-05-2000,171,69,Manchester City,Premier League,RW,England,Left,3,81,79,82,88,57,60
241486,J. Koundé,Jules Koundé,"CB, RB",85,89,69500000,160000,24,12-11-1998,180,75,FC Barcelona,La Liga,RCB,France,Right,3,84,45,68,75,86,80
231677,M. Rashford,Marcus Rashford,"LW, LM, ST",85,88,71500000,185000,25,31-10-1997,186,70,Manchester United,Premier League,LW,England,Right,3,90,86,78,84,42,74
224458,Diogo Jota,Diogo José Teixeira da Silva,"CF, LW",85,87,67500000,180000,26,04-12-1996,178,68,Liverpool,Premier League,SUB,Portugal,Right,5,82,82,75,85,57,77
234378,D. Rice,Declan Rice,"CDM, CM",85,87,63000000,130000,24,14-01-1999,185,80,Arsenal,Premier League,CDM,England,Right,3,71,65,75,77,83,83
203574,J. Stones,John Stones,"CB, RB",85,86,49500000,180000,29,28-05-1994,188,76,Manchester City,Premier League,RCB,England,Right,4,72,52,75,77,85,77
212218,A. Laporte,Aymeric Laporte,CB,85,86,49500000,70000,29,27-05-1994,191,85,Al Nassr,Pro League,LCB,Spain,Left,3,61,50,73,69,86,78
226753,A. Onana,André Onana,GK,85,86,46000000,130000,27,02-04-1996,190,93,Manchester United,Premier League,GK,Cameroon,Right,3,,,,,,
186345,K. Trippier,Kieran Trippier,RB,85,85,37500000,150000,32,19-09-1990,173,71,Newcastle United,Premier League,RB,England,Right,4,68,65,86,79,82,72
188943,K. Trapp,Kevin Trapp,GK,85,85,26500000,51000,32,08-07-1990,189,84,Eintracht Frankfurt,Bundesliga,GK,Germany,Right,4,,,,,,
192387,C. Immobile,Ciro Immobile,ST,85,85,34500000,90000,33,20-02-1990,185,85,Lazio,Serie A,ST,Italy,Right,4,85,87,68,78,39,74
192629,Iago Aspas,Iago Aspas Juncal,ST,85,85,23000000,38000,35,01-08-1987,176,67,Celta de Vigo,La Liga,RS,Spain,Left,4,81,85,79,86,35,64
193041,K. Navas,Keylor Navas Gamboa,GK,85,85,6000000,60000,36,15-12-1986,185,80,Paris Saint Germain,Ligue 1,SUB,Costa Rica,Right,3,,,,,,
197445,D. Alaba,David Olatukunbo Alaba,"CB, LB",85,85,37000000,200000,31,24-06-1992,180,78,Real Madrid,La Liga,LCB,Austria,Left,4,79,71,83,80,85,77
201535,R. Varane,Raphaël Varane,CB,85,85,44000000,160000,30,25-04-1993,191,81,Manchester United,Premier League,RES,France,Right,4,79,49,64,67,86,78
202811,E. Martínez,Damián Emiliano Martínez,GK,85,85,36000000,100000,30,02-09-1992,195,88,Aston Villa,Premier League,GK,Argentina,Right,4,,,,,,
205452,A. Rüdiger,Antonio Rüdiger,CB,85,85,44000000,200000,30,03-03-1993,190,85,Real Madrid,La Liga,RCB,Germany,Right,3,82,54,71,66,84,86
206517,J. Grealish,Jack Grealish,"LW, LM",85,85,57500000,200000,27,10-09-1995,180,81,Manchester City,Premier League,LW,England,Right,3,76,76,84,88,53,73
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,"CM, CDM",85,85,52500000,130000,29,08-02-1994,178,76,Inter,Serie A,CDM,Turkey,Right,4,67,80,86,85,70,66
209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",85,85,54000000,100000,28,06-02-1995,189,82,FC Bayern München,Bundesliga,SUB,Germany,Right,4,78,81,81,83,80,86
209981,Y. Bounou,Yassine Bounou,GK,85,85,26500000,54000,32,05-04-1991,195,78,Al Hilal,Pro League,GK,Morocco,Left,2,,,,,,
209989,T. Partey,Thomas Partey,"CDM, CM",85,85,45000000,150000,30,13-06-1993,185,77,Arsenal,Premier League,SUB,Ghana,Right,3,68,71,82,80,81,82
210935,D. Berardi,Domenico Berardi,"RW, RM",85,85,54500000,40000,28,01-08-1994,183,72,Sassuolo,Serie A,RW,Italy,Left,3,82,83,81,87,36,72
213345,K. Coman,Kingsley Junior Coman,"LM, RM",85,85,57500000,100000,27,13-06-1996,181,75,FC Bayern München,Bundesliga,LM,France,Right,3,89,76,79,87,30,62
217870,G. Di Lorenzo,Giovanni Di Lorenzo,RB,85,85,47500000,86000,29,04-08-1993,183,83,Napoli,Serie A,RB,Italy,Right,3,85,67,75,79,82,82
224334,M. Acuña,Marcos Javier Acuña,"LB, LM",85,85,39000000,46000,31,28-10-1991,172,69,Sevilla,La Liga,LB,Argentina,Left,3,75,74,83,83,81,84
241637,A. Tchouaméni,Aurélien Tchouaméni,"CDM, CM",84,89,58500000,160000,23,27-01-2000,187,81,Real Madrid,La Liga,CDM,France,Right,3,73,69,79,78,81,81
226754,I. Bennacer,Ismaël Bennacer,"CDM, CM, CAM",84,88,53500000,84000,25,01-12-1997,175,70,Milan,Serie A,SUB,Algeria,Left,3,80,72,81,86,79,78
232756,F. Tomori,Fikayo Tomori,CB,84,88,52500000,84000,25,19-12-1997,185,79,Milan,Serie A,LCB,England,Right,4,86,40,59,66,86,82
241852,M. Diaby,Moussa Diaby,"RM, LM",84,88,60500000,105000,23,07-07-1999,171,67,Aston Villa,Premier League,RS,France,Left,3,95,73,75,86,42,59
251566,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,"LW, LM",84,88,61500000,145000,22,18-06-2001,178,75,Arsenal,Premier League,LW,Brazil,Right,3,89,78,76,86,46,72
233934,A. Ramsdale,Aaron Ramsdale,GK,84,87,43000000,105000,25,14-05-1998,191,77,Arsenal,Premier League,GK,England,Right,3,,,,,,
237679,R. Kolo Muani,Randal Kolo Muani,"ST, RM",84,87,58500000,110000,24,05-12-1998,187,73,Paris Saint Germain,Ligue 1,ST,France,Right,4,91,78,73,86,38,67
239301,L. Martínez,Lisandro Martínez,CB,84,87,49500000,140000,25,18-01-1998,178,77,Manchester United,Premier League,LCB,Argentina,Left,3,73,59,78,79,85,83
239580,Bremer,Gleison Bremer Silva Nascimento,CB,84,87,49000000,135000,26,18-03-1997,188,82,Juventus,Serie A,CB,Brazil,Right,2,80,50,56,65,85,83
247851,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,"CM, CDM",84,87,55500000,145000,25,16-11-1997,182,74,Newcastle United,Premier League,CM,Brazil,Right,2,71,74,81,84,80,81
212190,N. Süle,Niklas Süle,"CB, RB",84,86,45000000,66000,27,03-09-1995,195,99,Borussia Dortmund,Bundesliga,RCB,Germany,Right,3,73,51,68,62,85,85
224293,Rúben Neves,Rúben Diogo da Silva Neves,"CDM, CM",84,86,47000000,62000,26,13-03-1997,183,83,Al Hilal,Pro League,LCM,Portugal,Right,4,60,75,86,77,76,73
227127,Álex Remiro,Alejandro Remiro Gargallo,GK,84,86,36000000,43000,28,24-03-1995,192,79,Real Sociedad,La Liga,GK,Spain,Right,4,,,,,,
232580,Gabriel,Gabriel dos Santos Magalhães,CB,84,86,47000000,130000,25,19-12-1997,190,87,Arsenal,Premier League,LCB,Brazil,Left,2,70,41,62,60,85,82
235212,A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",84,86,50500000,90000,24,04-11-1998,181,73,Paris Saint Germain,Ligue 1,RB,Morocco,Right,4,92,75,80,80,75,78
237086,Kim Min Jae,김민재 金敏在,CB,84,86,46000000,82000,26,15-11-1996,190,86,FC Bayern München,Bundesliga,LCB,Korea Republic,Right,3,80,33,58,64,85,84
238074,R. James,Reece James,"RB, RWB",84,86,50500000,120000,23,08-12-1999,178,87,Chelsea,Premier League,RES,England,Right,3,80,72,83,82,82,81
212194,J. Brandt,Julian Brandt,"CAM, RM, CM",84,85,48500000,72000,27,02-05-1996,185,83,Borussia Dortmund,Bundesliga,LCM,Germany,Right,4,71,80,84,86,51,70
213648,P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",84,85,43000000,110000,27,05-08-1995,187,84,Tottenham Hotspur,Premier League,SUB,Denmark,Right,4,55,73,78,78,81,82
220697,J. Maddison,James Maddison,"CAM, RM, CM",84,85,49500000,120000,26,23-11-1996,175,73,Tottenham Hotspur,Premier League,LCM,England,Right,4,71,81,86,86,54,63
220814,L. Hernández,Lucas François Bernard Hernández Pi,"CB, LB",84,85,42500000,105000,27,14-02-1996,184,79,Paris Saint Germain,Ligue 1,LB,France,Left,2,76,54,70,70,84,78
225193,Mikel Merino,Mikel Merino Zazón,"CM, CAM, LM",84,85,48000000,54000,27,22-06-1996,189,83,Real Sociedad,La Liga,LCM,Spain,Left,3,72,78,82,82,83,82
230666,Gabriel Jesus,Gabriel Fernando de Jesus,"ST, RW",84,85,50500000,165000,26,03-04-1997,175,73,Arsenal,Premier League,SUB,Brazil,Right,3,83,82,75,88,40,77
233419,Raphinha,Raphael Dias Belloli,RW,84,85,49500000,210000,26,14-12-1996,176,68,FC Barcelona,La Liga,RW,Brazil,Left,4,91,79,78,86,53,73
235805,F. Chiesa,Federico Chiesa,"LM, LW, RW",84,85,50500000,140000,25,25-10-1997,175,70,Juventus,Serie A,LS,Italy,Right,4,91,82,76,86,53,75
241084,L. Díaz,Luis Fernando Díaz Marulanda,"LW, LM",84,85,49500000,165000,26,13-01-1997,180,73,Liverpool,Premier League,LW,Colombia,Right,4,91,81,75,87,34,74
164240,Thiago Silva,Thiago Emiliano da Silva,CB,84,84,7500000,100000,38,22-09-1984,183,79,Chelsea,Premier League,LCB,Brazil,Right,3,51,54,74,72,87,74
177683,Y. Sommer,Yann Sommer,GK,84,84,7000000,84000,34,17-12-1988,183,79,Inter,Serie A,GK,Switzerland,Right,4,,,,,,
185122,P. Gulácsi,Péter Gulácsi,GK,84,84,13500000,60000,33,06-05-1990,191,86,RB Leipzig,Bundesliga,GK,Hungary,Right,2,,,,,,
188377,K. Walker,Kyle Walker,RB,84,84,22000000,155000,33,28-05-1990,183,83,Manchester City,Premier League,RB,England,Right,2,90,63,77,78,79,81
189509,Thiago,Thiago Alcântara do Nascimento,CM,84,84,33000000,150000,32,11-04-1991,174,70,Liverpool,Premier League,SUB,Spain,Right,3,61,72,86,89,71,67
189596,T. Müller,Thomas Müller,"CAM, CF, ST",84,84,26500000,90000,33,13-09-1989,185,76,FC Bayern München,Bundesliga,SUB,Germany,Right,4,59,82,83,79,55,69
189881,C. Smalling,Chris Smalling,CB,84,84,20000000,88000,33,22-11-1989,194,81,Roma,Serie A,CB,England,Right,3,62,47,58,62,87,82
192505,R. Lukaku,Romelu Lukaku Menama,ST,84,84,41500000,165000,30,13-05-1993,191,94,Roma,Serie A,SUB,Belgium,Left,4,80,84,74,77,38,82
192984,K. Casteels,Koen Casteels,GK,84,84,22500000,55000,31,25-06-1992,197,86,VfL Wolfsburg,Bundesliga,GK,Belgium,Left,2,,,,,,
193747,Koke,Jorge Resurrección Merodio,"CDM, CM",84,84,29500000,74000,31,08-01-1992,176,75,Atlético Madrid,La Liga,CDM,Spain,Right,4,69,72,85,79,79,78
198706,Luis Alberto,Luis Alberto Romero Alconchel,CM,84,84,40500000,78000,30,28-09-1992,183,74,Lazio,Serie A,LCM,Spain,Right,3,69,77,85,84,62,58
201024,K. Koulibaly,Kalidou Koulibaly,CB,84,84,27500000,62000,32,20-06-1991,186,93,Al Hilal,Pro League,RCB,Senegal,Right,4,76,48,63,68,84,83
202556,M. Depay,Memphis Depay,"CF, LW, ST",84,84,42000000,90000,29,13-02-1994,176,78,Atlético Madrid,La Liga,SUB,Netherlands,Right,3,82,82,81,85,30,80
203841,N. Pope,Nick Pope,GK,84,84,22500000,110000,31,19-04-1992,199,76,Newcastle United,Premier League,GK,England,Right,3,,,,,,
206113,S. Gnabry,Serge David Gnabry,"RM, ST, LM",84,84,45000000,90000,27,14-07-1995,176,77,FC Bayern München,Bundesliga,SUB,Germany,Right,4,81,84,78,84,43,68
207862,M. Ginter,Matthias Ginter,CB,84,84,35500000,47000,29,19-01-1994,189,86,SC Freiburg,Bundesliga,LCB,Germany,Right,3,60,59,71,66,85,80
208418,Y. Carrasco,Yannick Ferreira Carrasco,"LW, LWB",84,84,41500000,69000,29,04-09-1993,181,73,Al Shabab,Pro League,LW,Belgium,Right,4,88,81,80,85,59,66
209499,Fabinho,Fábio Henrique Tavares,CDM,84,84,36000000,65000,29,23-10-1993,188,78,Al Ittihad,Pro League,LDM,Brazil,Right,2,59,69,78,77,82,82
210008,A. Rabiot,Adrien Rabiot,"CM, LM",84,84,42000000,150000,28,03-04-1995,191,80,Juventus,Serie A,LCM,France,Left,3,78,76,80,80,82,84
210035,Grimaldo,Alejandro Grimaldo García,"LWB, LM",84,84,40500000,74000,27,20-09-1995,171,67,Bayer 04 Leverkusen,Bundesliga,LM,Spain,Left,2,87,69,83,84,76,72
212616,R. De Paul,Rodrigo Javier De Paul,CM,84,84,41000000,85000,29,24-05-1994,180,70,Atlético Madrid,La Liga,RCM,Argentina,Right,3,78,77,83,82,75,83
216435,S. Lobotka,Stanislav Lobotka,"CM, CDM",84,84,42000000,86000,28,25-11-1994,170,64,Napoli,Serie A,CDM,Slovakia,Right,4,71,70,81,83,77,75
222492,L. Sané,Leroy Aziz Sané,"RM, LM",84,84,45000000,90000,27,11-01-1996,183,80,FC Bayern München,Bundesliga,RM,Germany,Left,2,91,81,80,85,38,68
226161,Marcos Llorente,Marcos Llorente Moreno,"RM, CM, RB",84,84,42500000,85000,28,30-01-1995,184,74,Atlético Madrid,La Liga,SUB,Spain,Right,4,89,78,79,80,78,81
232363,M. Škriniar,Milan Škriniar,CB,84,84,36500000,110000,28,11-02-1995,187,80,Paris Saint Germain,Ligue 1,LCB,Slovakia,Right,3,78,41,57,67,86,83
264240,Gavi,Pablo Martín Páez Gavira,"CM, LW",83,90,68500000,60000,18,05-08-2004,173,70,FC Barcelona,La Liga,LW,Spain,Right,3,76,66,78,85,68,70
243715,W. Saliba,William Alain André Gabriel Saliba,CB,83,89,53000000,105000,22,24-03-2001,193,85,Arsenal,Premier League,RCB,France,Right,3,82,39,69,73,84,82
247090,E. Fernández,Enzo Jeremías Fernández,"CM, CDM",83,89,58000000,120000,22,17-01-2001,178,76,Chelsea,Premier League,CAM,Argentina,Right,4,73,73,81,80,75,79
234396,A. Davies,Alphonso Boyle Davies,"LB, LM",83,88,52000000,64000,22,02-11-2000,185,77,FC Bayern München,Bundesliga,LB,Canada,Left,4,95,66,78,84,74,77
242516,C. Gakpo,Cody Mathès Gakpo,"CF, LW",83,88,55500000,130000,24,07-05-1999,189,76,Liverpool,Premier League,CF,Netherlands,Right,4,85,82,78,84,42,73
246430,D. Vlahović,Dušan Vlahović,ST,83,88,55500000,125000,23,28-01-2000,190,75,Juventus,Serie A,RS,Serbia,Left,3,80,85,66,79,29,82
247819,N. Schlotterbeck,Nico Schlotterbeck,CB,83,88,49500000,51000,23,01-12-1999,191,90,Borussia Dortmund,Bundesliga,SUB,Germany,Left,2,78,58,67,73,85,82
253149,J. Frimpong,Jeremie Agyekum Frimpong,"RWB, RM",83,88,52000000,58000,22,10-12-2000,171,64,Bayer 04 Leverkusen,Bundesliga,RM,Netherlands,Right,3,94,56,75,84,74,70
244260,Dani Olmo,Daniel Olmo Carvajal,"CAM, CF",83,87,50500000,71000,25,07-05-1998,179,72,RB Leipzig,Bundesliga,LAM,Spain,Right,4,68,76,82,86,50,59
251809,S. Botman,Sven Botman,CB,83,87,47000000,105000,23,12-01-2000,193,81,Newcastle United,Premier League,LCB,Netherlands,Left,3,65,37,63,66,84,84
230869,Unai Simón,Unai Simón Mendibil,GK,83,86,36500000,31000,26,11-06-1997,190,89,Athletic Club,La Liga,GK,Spain,Right,3,,,,,,
241464,Pau Torres,Pau Francisco Torres,CB,83,86,42000000,100000,26,16-01-1997,191,80,Aston Villa,Premier League,LCB,Spain,Left,3,72,38,68,70,84,81
213661,A. Christensen,Andreas Bødtker Christensen,CB,83,85,38500000,155000,27,10-04-1996,187,82,FC Barcelona,La Liga,LCB,Denmark,Right,3,67,32,68,71,85,76
